Date,Supply Power,Load Power,Temperature,Holiday
20190426,34916.0,32664.0,27.172814037874158,0
20190427,29369.0,27376.0,25.38130812312235,2
20190428,28688.0,26948.0,26.079788252918995,2
20190429,35058.0,32847.0,27.50676696585535,0
20190430,35309.0,33099.0,27.75361715432459,0
20190501,29919.0,26826.0,22.70119503607457,0
20190502,31373.0,28690.0,21.237001029304004,0
20190503,31631.0,28315.0,22.688940367340855,0
20190504,28938.0,25819.0,23.747511465372565,2
20190505,27591.0,25336.0,24.738904351792613,2
20190506,31019.0,28615.0,21.61049110871313,0
20190507,31081.0,28472.0,20.298855098840768,0
20190508,31108.0,28968.0,22.304024463049675,0
20190509,31441.0,29229.0,22.87498118488065,0
20190510,32179.0,29571.0,23.924671295812946,0
20190511,29413.0,26576.0,25.241664371543212,2
20190512,29193.0,26484.0,27.04034444160854,2
20190513,34446.0,32135.0,28.15127420177869,0
20190514,35275.0,33144.0,27.760651645030123,0
20190515,35149.0,32896.0,27.876701374560295,0
20190516,35739.0,33307.0,28.580315479933404,0
20190517,34862.0,32316.0,27.16028981981094,0
20190518,32114.0,29523.0,28.299317083798094,2
20190519,31104.0,28977.0,29.28293210416246,2
20190520,35560.0,32213.0,25.23691480850352,0
20190521,33865.0,29978.0,24.199250202585546,0
20190522,34704.0,30150.0,24.59633821232849,0
20190523,35142.0,30430.0,24.502066075946836,0
20190524,35123.0,31548.0,27.047017981718888,0
20190525,31794.0,27810.0,27.61961784680661,2
20190526,31694.0,27905.0,27.966448493851605,2
20190527,35227.0,32521.0,27.394428009056703,0
20190528,35411.0,32242.0,25.60046824188283,0
20190529,36224.0,30319.0,24.342074129827107,0
20190530,36483.0,32116.0,26.69493421451395,0
20190531,37486.0,32971.0,28.301501545913204,0
20190601,32902.0,28860.0,27.699203376562387,2
20190602,32488.0,28856.0,29.48351823679717,2
20190603,37498.0,32958.0,28.654389520707884,0
20190604,36955.0,32409.0,27.23611166514158,0
20190605,37945.0,33916.0,28.810720737267662,0
20190606,38674.0,34889.0,29.83470282937193,0
20190607,34770.0,30068.0,30.041471318173958,2
20190608,32858.0,29548.0,29.744432697163642,2
20190609,33490.0,29408.0,30.040195724948003,2
20190610,37502.0,33355.0,27.67791010492246,0
20190611,36341.0,32126.0,25.407567785041643,0
20190612,36513.0,31095.0,25.00573383308003,0
20190613,35273.0,31680.0,25.908517412632243,0
20190614,35772.0,30877.0,25.42316688137768,0
20190615,33122.0,27686.0,26.917868715023832,2
20190616,32635.0,27673.0,28.38399361634576,2
20190617,37468.0,33703.0,28.836396609076655,0
20190618,37996.0,34739.0,29.831007347269704,0
20190619,39258.0,35601.0,30.682422779416825,0
20190620,39662.0,35959.0,30.800539899887973,0
20190621,40008.0,35928.0,30.962809238451435,0
20190622,35113.0,30923.0,30.037867237337416,2
20190623,33049.0,28305.0,26.962337039353734,2
20190624,37104.0,31688.0,26.206567410910516,0
20190625,36804.0,33290.0,27.354762911759064,0
20190626,36928.0,32816.0,27.26063675807344,0
20190627,37640.0,33465.0,28.221480294384982,0
20190628,38530.0,34963.0,30.004703850174344,0
20190629,34155.0,30553.0,30.32652204911803,2
20190630,33522.0,30083.0,30.080179478960186,2
20190701,38849.0,35215.0,30.429081963461144,0
20190702,39935.0,35052.0,28.811963388361864,0
20190703,38706.0,33953.0,28.164067810148854,0
20190704,39052.0,34157.0,29.463660180320556,0
20190705,39567.0,33853.0,29.59272704275621,0
20190706,34449.0,30014.0,29.413776783601453,2
20190707,34278.0,29965.0,30.24509717898287,2
20190708,39621.0,35166.0,29.89758277169323,0
20190709,39052.0,34886.0,29.521207001909435,0
20190710,39164.0,35267.0,30.05054096105764,0
20190711,38719.0,34564.0,28.807540133467622,0
20190712,39970.0,35638.0,29.28367804222207,0
20190713,36491.0,31353.0,30.42037294089505,2
20190714,34198.0,30941.0,30.44458704077577,2
20190715,39898.0,36261.0,30.515949832790852,0
20190716,40150.0,36926.0,30.84991668747721,0
20190717,41153.0,37383.0,30.65124199971339,0
20190718,40002.0,35922.0,29.006442358027883,0
20190719,39994.0,35484.0,29.082462357681703,0
20190720,36836.0,30618.0,28.867231649302934,2
20190721,34994.0,29604.0,28.56952498681489,2
20190722,40246.0,34488.0,28.11849358799693,0
20190723,39770.0,35004.0,28.06649814558306,0
20190724,40609.0,35571.0,29.256471205329113,0
20190725,40591.0,35955.0,30.16270906036453,0
20190726,40420.0,36523.0,30.051741165364913,0
20190727,36553.0,31207.0,28.77857131454702,2
20190728,35368.0,29654.0,29.25988039180464,2
20190729,40478.0,35554.0,30.32837288805064,0
20190730,40714.0,36647.0,30.678512323299195,0
20190731,40536.0,36807.0,30.853942000685873,0
20190801,40524.0,36482.0,29.97561712826936,0
20190802,40810.0,35775.0,29.13259351152543,0
20190803,36920.0,31045.0,29.546995363820038,2
20190804,35151.0,31333.0,30.672660458793498,2
20190805,40649.0,36721.0,30.326640233449986,0
20190806,41157.0,36386.0,30.199375879325864,0
20190807,40786.0,36067.0,29.365617166801748,0
20190808,40648.0,36331.0,28.937527283834385,0
20190809,37717.0,30740.0,28.723890011934643,0
20190810,36049.0,31478.0,31.29460082374901,2
20190811,35251.0,31064.0,30.759017333640855,2
20190812,40272.0,34479.0,29.251749489583503,0
20190813,38658.0,33906.0,29.039059172472363,0
20190814,40164.0,36100.0,29.868457688657468,0
20190815,40630.0,34275.0,29.70032334176336,0
20190816,40427.0,34379.0,29.075891484972704,0
20190817,37079.0,30424.0,29.012167212450393,2
20190818,34759.0,28616.0,27.355588171487224,2
20190819,39330.0,32954.0,26.557546289474974,0
20190820,39597.0,33328.0,27.241204264275158,0
20190821,39972.0,33542.0,27.4366313018876,0
20190822,39807.0,34983.0,29.36244634900446,0
20190823,40025.0,35157.0,30.16028143442984,0
20190824,35969.0,28996.0,28.66413615926181,2
20190825,34452.0,28990.0,28.902613890264533,2
20190826,40403.0,35049.0,29.549948712171215,0
20190827,40285.0,35593.0,29.610302355068843,0
20190828,40601.0,36507.0,30.390248205445875,0
20190829,40424.0,36368.0,30.429565832367125,0
20190830,40228.0,34613.0,27.824784403655983,0
20190831,35403.0,30636.0,29.657974200793973,2
20190901,34611.0,29629.0,29.808013439606878,2
20190902,39989.0,35383.0,30.122328991589725,0
20190903,40050.0,35469.0,29.691838461474003,0
20190904,39136.0,33717.0,26.91534542479601,0
20190905,39153.0,33277.0,26.88501818025242,0
20190906,39285.0,34200.0,28.491523541789256,0
20190907,34982.0,30088.0,28.85181058482192,2
20190908,33239.0,29047.0,28.566371215011138,2
20190909,39318.0,34357.0,29.018454113708334,0
20190910,38812.0,34664.0,28.966439863820433,0
20190911,39916.0,35341.0,29.866015554973696,0
20190912,39889.0,35264.0,29.8768343112914,0
20190913,34199.0,29375.0,29.616309792553256,2
20190914,33070.0,28676.0,29.091463969497518,2
20190915,33578.0,28191.0,27.359989817664136,2
20190916,39253.0,33228.0,27.503919300217625,0
20190917,38936.0,32961.0,27.458235370858617,0
20190918,38470.0,32428.0,27.241491104248265,0
20190919,38401.0,31508.0,26.419481705159605,0
20190920,36939.0,30594.0,24.315797385216765,0
20190921,32072.0,26460.0,23.366440940280736,2
20190922,31257.0,25836.0,25.17215625335056,2
20190923,36566.0,29947.0,25.4481992684596,0
20190924,36722.0,30106.0,25.572783065175454,0
20190925,36388.0,30709.0,26.125045145582998,0
20190926,36821.0,31162.0,26.503692381162605,0
20190927,37499.0,31255.0,26.43671480095607,0
20190928,33013.0,28161.0,26.62183511037969,2
20190929,32241.0,27926.0,27.68427004034219,2
20190930,36162.0,28505.0,26.38712881309303,0
20191001,36449.0,31917.0,27.397109000718846,0
20191002,37393.0,33316.0,28.312663056977225,0
20191003,37506.0,33699.0,28.260996693370835,0
20191004,38091.0,33670.0,27.740869668608635,0
20191005,37012.0,32451.0,27.881542161494366,0
